Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q4_1,Q27,Q28,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q9_1,Q29,Q30,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q31,Q32,Q14,Q15,Q16
Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Strongly agree,have active conversations with us during class work to help us either understand the assignment or guide us on how to overcome obstacles we may be facing. ,"when i walk in the room, its dark and glummy.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,how interactive the inclass assignments are ,n/a,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,being able to work in groups and other classmates,using autocad real blueprints,study groups,n/a,n/a
Neutral,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,,,,,,
Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,,,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,,,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Somewhat disagree,Neutral,,,,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Revising my work and see where I can improve.,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"The grading, it’s based on how well you adjust to what you’re learning and see that you’re improving and understanding what you’re doing. ",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Learning how to do the work. If we need questions he’ll help me right away and teach me how to do it or show me a shortcut. ,,Asking questions when I needed help.,,"Overall in this class, I’m learning new stuff and soon will apply this kind of work in the future."
Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,being open when asking for help,nothing in particular,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,The assignments get very specific feedback that tells you exactly what to fix,the assignments are graded by multiple different people who can give different feedback that is different from the other graders,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,The content of the class itself was interesting,more examples ,clear directions ,show more examples,N/A
Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,buying me PS5,the room was too small expand we need the breathe,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,the carpet floor,paint the walls a light blue ,Neutral,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat disagree,Strongly disagree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,cool fun amazing breathe taking life thrilling projects ,the seats ,smart friends ,actually teach ,i pooped on the chair
Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,allow us to chip into the conversation and answer some problems,The professor cannot maintain the class and there are times I feel lost in my own thoughts since the conversation does not get interesting,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,The professor kept us engaged with others in class,N/A,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,he kept our attention span in class and the lesson he was teaching is interesting,N/A,allow me to communicate my questions with the professor which usually has an answer for my problems,slow down when teaching since I felt that he was going fast,
Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Neutral,My professor offered study hours which I used in order to understand the subject much better,Certain classes can feel extremely boring which causes my attention to drift off,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,certain organization and structures were very simple to understand ,Some classes organization and structures were vague or just didn't explain enough,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Kahoot quizes and study group days,less homework assignments and more days to practice our work in class,Going to student hours and making study groups with classmates,Offer more days in class lectures to practice the materials ,
Somewhat disagree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Helps when asked or if is available.  ,The grading is super strict every little spec has to be perfect in order for a complete although we understand the concept already. ,Somewhat agree,Neutral,Neutral,Neutral,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Neutral,how we get time to do the projects in class.,maybe explaining the process a little more.,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Neutral,Somewhat disagree,Neutral,one of the projects made us go out in groups to look for measurements. ,following along with examples on autocad.,help from others.,grade things in a timely manner or feedback per say,NA
Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"provide as many resources as they could, and give us the opportunites to make changes to the structure of the class",the time of the class felt inconvenient for me,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,having fun with the assignments,higher difficulty level,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,working in groups in every class meeting,n/a,having a welcoming class period and office hours where i felt comfortable to go and ask questions,n/a,n/a
Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My professor often felt that our personal experiences were sometimes valued. ,"Sometimes the energy of the professor did seem that they were approachable, but I understand things happen",Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,I liked that the class assignments were related to real life examples.,"The professor took weeks to grade assignments and by the time I received it back, we were already moving forward with another assignment.",Somewhat agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,We did lots of group work so we all had to participate to complete assignments.,Professor could help to mitigate some students from not doing their share of the workload,learning how to enage with my peers and talking with the professor about their expectations ,be more approable and direct with their expecations so there is not miscommunication,
Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Asked me questions and was able to answer the questions I had in detail .,It was online so it was hard to make the connection. ,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Everything was laid out from assignments to exams which help me stay organized. ,after certain things were graded there was little to no feedback,Somewhat agree,Neutral,Neutral,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat agree,the assignments were made to make you think. ,relate the assignments to real world examples ,being well organized and having all the assignments laid out so I knew what to expect. ,Is use examples that are related to real life examples to help strengthen the concepts,
Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Reassure me that if I ask a question then some other students pro rally would have the same one and I would be helping classmates in that sense.,Most of the time the professor would on without consoling students if they understand.,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,The simple and clearly laid out agenda for each time we were meeting.,Reducing the amount of time that was wasted during the beginning of class.,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Pairing up for groups to work on problems given by the professor.,Rotate groups to create different pairs of students more often.,Studying and useing in class practice problems.,Teach the leacture a little bit more clear ,
Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,,,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Neutral,Neutral,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,,,the office hours provided by the professor ,,
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,checking in on how my overall progress was going with the class in terms of learning the subject.,having little knowledge of what I had to do better in a specific subject due to lack of content and in class activities. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,being able to get feedback on my work during class time with step by step details on how to improve.,more available resources for me to look at when going into a new subject for review purposes. ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,not having the traditional way of a classroom setup but instead more examples relevant to the assignments. ,having an open space for students to work on problem sets during class for homework or for preparation for an exam.,reviewing and practicing for all my classes as well as staying ahead of my assignments. ,encourage students to try problem sets on the board to identify mistakes made and room for improvement.,
Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,always willing to explain something again and in a clearer matter if needed.,"A little clearer on hw and how the grading process for this class will be. Never had a mastery based performance class. I don't mind it and actually think its cool, just want a breakdown. ",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,How everything is on canvas and the professor tells us and shows us how to do each.,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,,,,,
Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Ask me questions about my work. By doing this they showed that they care for me and my work. ,The silence. Most professors are ok with a silent atmosphere within their class. ,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,The pace. Everything is planned out accordingly and pushed back if need be. ,As of now. most structures are ok. ,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Having us the students work together. ,"Most groups don't really learn together, they just work together. I suggest we make teaching within the group a normal occurrence. ",being able to apply what I was taught directly to the real world. ,Be more interactive with the class. ,no further comments. 
Neutral,Somewhat agree,Neutral,Somewhat disagree,Neutral,Strongly agree,"Enganging, feedback, and the time given individualy to let us try to solve problems",Nothing I can think of,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Neutral,Neutral,Grading structure and workload provided to learn material,More clear grading structure so students dont get confused,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Open to discuss mateiral with other students and recieved feedback instantly,Structure of AutoCAD class and the flow of things,Try on the material before asking for help,Clarify grading structure for students,Nothing else
Somewhat agree,Strongly agree,,Somewhat agree,Somewhat agree,Somewhat agree,,,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Help me when I asked for help,Not everyone was asking questions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral,Neutral,Neutral,Somewhat agree,Neutral,Strongly agree,acknowledge my comments and questions,nobody really talks,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"that everything is layed out, you cannot get lost unless you dont come to the lectures",more professors should offer zoom,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,that my professors make us work in groups and the professors themselves are fun,my classes are alright how they are.,the organization of the class and help from the professor,N/A,
